,0,1
0,area,6
1,chart,24
2,map,40
3,circle,3
4,graph,7
5,density,2
6,distance,2
7,travelled,1
8,dorling,6
9,cartogram,6
10,flow,4
11,geologic,1
12,heat,6
13,of,17
14,obesity,35
15,population,4
16,across,1
17,us,8
18,multiple,1
19,pie,18
20,napoleans,1
21,march,4
22,napoleons,1
23,on,4
24,moscow,3
25,in,10
26,the,10
27,united,2
28,states,2
29,per,2
30,state,6
31,percentages,1
32,usa,5
33,rates,4
34,dot,2
35,symbol,3
36,heatmap?,1
37,heatmap,3
38,sphere,1
39,plot,3
40,geo,1
41,distribution,1
42,progression,1
43,army,1
44,over,2
45,time,2
46,absolute,1
47,and,1
48,percentage,2
49,marching,2
50,informed,1
51,weight,1
52,/,4
53,census,1
54,demographic,1
55,data,3
56,using,1
57,carogram,1
58,graduated,2
59,(1995,1
60,to,1
61,2008),1
62,circles,1
63,choropleth,2
64,path,1
65,by,3
66,napoleon's,3
67,color,1
68,coded,1
69,maps,1
70,charts,1
71,"united
states",1
72,(1995-2008),1
73,scatter,1
74,invasion,1
75,route,1
76,trends,1
77,u.s.,1
78,flowchart,1
79,wise,1
80,mpa,1
81,cartogram/area,1
82,choroploth,1
83,chloropeth,2
